clip,true,Hao baseline,V1.4 BiLSTM-CNN,V2.0 ST-GCN,V2.4 MS-G3D,Ens V2.3 (V1.4+V2.0),Ens (V1.4+V2.4)
normal/normal-10.csv,0,0.4218065,0.42212307,0.2790776,0.3681434,0.35060036,0.39513323
normal/normal-12.csv,0,0.0053280797,0.28380015,0.094135955,0.19996029,0.18896806,0.24188024
normal/normal-14.csv,0,0.24907115,0.2948596,0.15966868,0.24261431,0.22726414,0.26873696
normal/normal-15.csv,0,0.8752252,0.38427538,0.24982475,0.65882635,0.31705004,0.52155083
normal/normal-16.csv,0,0.6194996,0.30063507,0.3290893,0.5062151,0.3148622,0.4034251
normal/normal-18.csv,0,0.7799705,0.4693238,0.2783718,0.45008436,0.37384784,0.4597041
normal/normal-19.csv,0,0.4347307,0.3103841,0.32145864,0.49224544,0.31592137,0.40131477
normal/normal-2.csv,0,0.62209374,0.3947721,0.2797075,0.41210425,0.3372398,0.40343815
normal/normal-20.csv,0,0.33494508,0.26646522,0.33065704,0.5991066,0.29856116,0.4327859
normal/normal-21.csv,0,0.9501808,0.65368855,0.21879119,0.8358651,0.4362399,0.74477684
normal/normal-22.csv,0,0.30688092,0.26327094,0.24297301,0.2032368,0.25312197,0.23325385
normal/normal-23.csv,0,0.5613298,0.32951713,0.1531801,0.58461154,0.2413486,0.45706433
normal/normal-24.csv,0,0.92116094,0.39683548,0.34999347,0.6213216,0.37341446,0.50907856
normal/normal-26.csv,0,8.663885e-05,0.21816209,0.4817195,0.114683546,0.34994078,0.16642281
normal/normal-27.csv,0,0.3634718,0.22013497,0.28530958,0.365875,0.25272226,0.293005
normal/normal-3.csv,0,0.37179717,0.41900793,0.20327686,0.45932716,0.31114239,0.4391676
normal/normal-31.csv,0,0.6741815,0.38770637,0.27566272,0.40113735,0.33168456,0.39442188
normal/normal-32.csv,0,0.45259625,0.4302905,0.32289046,0.5526917,0.3765905,0.4914911
normal/normal-33.csv,0,0.46546882,0.4299026,0.20007202,0.40945378,0.3149873,0.4196782
normal/normal-34.csv,0,0.55707324,0.3944754,0.15504457,0.47214535,0.27475998,0.43331036
normal/normal-35.csv,0,0.28027007,0.32459116,0.27005515,0.4153664,0.29732317,0.3699788
normal/normal-37.csv,0,0.7285358,0.34322804,0.16072473,0.59009707,0.2519764,0.46666256
normal/normal-4.csv,0,0.4230787,0.48171452,0.20681135,0.545839,0.34426296,0.5137767
normal/normal-40.csv,0,0.98008424,0.53398937,0.19858491,0.6777155,0.3662871,0.60585237
normal/normal-41.csv,0,0.60340756,0.21187162,0.17421436,0.5684398,0.193043,0.3901557
normal/normal-43.csv,0,0.6537395,0.32957608,0.21843114,0.5696898,0.2740036,0.44963297
normal/normal-44.csv,0,0.4436232,0.3778232,0.19825232,0.3885861,0.28803775,0.38320464
normal/normal-45.csv,0,0.95419323,0.5530177,0.30171096,0.6836897,0.42736432,0.61835366
normal/normal-47.csv,0,0.6346051,0.40269336,0.27777147,0.4636981,0.34023243,0.4331957
normal/normal-48.csv,0,0.7540668,0.4172313,0.2762378,0.43343157,0.34673452,0.42533144
normal/normal-49.csv,0,0.55789214,0.34819084,0.33347556,0.6736505,0.34083325,0.5109207
normal/normal-5.csv,0,0.35547036,0.14597219,0.20420393,0.22030014,0.17508806,0.18313617
normal/normal-50.csv,0,0.92814094,0.3335086,0.34825465,0.6642101,0.34088165,0.49885935
normal/normal-51.csv,0,0.92814094,0.3335086,0.34825465,0.6642101,0.34088165,0.49885935
normal/normal-52.csv,0,0.4436232,0.3778232,0.19825232,0.3885861,0.28803775,0.38320464
normal/normal-53.csv,0,0.22443284,0.24605922,0.3068594,0.45792514,0.27645934,0.3519922
normal/normal-54.csv,0,0.42104882,0.45255792,0.1941198,0.4474606,0.32333887,0.4500093
normal/normal-55.csv,0,0.1964531,0.46088988,0.32339594,0.43174943,0.3921429,0.4463197
normal/normal-56.csv,0,0.1964531,0.46088988,0.32339594,0.43174943,0.3921429,0.4463197
normal/normal-57.csv,0,0.044295177,0.33147725,0.09974957,0.31869948,0.21561341,0.32508835
normal/normal-58.csv,0,0.4457659,0.24025208,0.18308434,0.26603284,0.21166821,0.25314248
normal/normal-59.csv,0,0.375493,0.12963942,0.19946678,0.212969,0.1645531,0.17130421
normal/normal-6.csv,0,0.86010766,0.50321144,0.22015378,0.7328611,0.36168265,0.61803627
normal/normal-60.csv,0,0.3966487,0.31702435,0.15240657,0.14459042,0.23471546,0.2308074
normal/normal-61.csv,0,0.4085737,0.2559544,0.15989953,0.29807755,0.20792696,0.27701595
normal/normal-62.csv,0,0.35015675,0.14546534,0.2039897,0.21717025,0.17472753,0.18131779
normal/normal-63.csv,0,0.32052603,0.2205959,0.23819865,0.22974974,0.22939727,0.22517282
normal/normal-64.csv,0,0.2709515,0.28087765,0.16825996,0.1230683,0.22456878,0.20197296
normal/normal-65.csv,0,0.47828186,0.34421024,0.15128347,0.44586208,0.24774684,0.39503613
normal/normal-66.csv,0,0.66768646,0.43723932,0.2680452,0.50591326,0.35264224,0.4715763
normal/normal-67.csv,0,0.70901024,0.45085585,0.2574523,0.61019194,0.35415405,0.5305239
normal/normal-68.csv,0,0.73464376,0.4558677,0.2164847,0.7700495,0.33617622,0.61295867
normal/normal-69.csv,0,0.3906278,0.36323178,0.21957302,0.5627874,0.2914024,0.46300957
normal/normal-7.csv,0,0.3908872,0.39920935,0.13263324,0.3097957,0.2659213,0.35450253
normal/normal-70.csv,0,0.33727032,0.45300165,0.1149359,0.3110768,0.28396878,0.38203922
normal/normal-71.csv,0,0.2609751,0.36484995,0.17384897,0.35447934,0.26934946,0.35966465
normal/normal-72.csv,0,0.4077697,0.39422253,0.2100665,0.39978912,0.3021445,0.39700583
normal/normal-73.csv,0,0.64990234,0.43464357,0.3124639,0.5009818,0.37355372,0.4678127
normal/normal-74.csv,0,0.2955624,0.34679765,0.17703426,0.38343662,0.26191598,0.36511713
normal/normal-75.csv,0,0.5035064,0.26769674,0.15147053,0.2122609,0.20958364,0.23997882
normal/normal-76.csv,0,0.7221247,0.35826996,0.23095736,0.22731689,0.29461366,0.2927934
normal/normal-77.csv,0,0.36625636,0.30272806,0.18977326,0.20320927,0.24625066,0.25296867
normal/normal-78.csv,0,0.5539615,0.35527942,0.32663184,0.36923885,0.34095564,0.36225915
normal/normal-79.csv,0,0.4268471,0.3371583,0.2881964,0.24074388,0.31267732,0.28895107
normal/normal-8.csv,0,0.7853565,0.35202986,0.24289219,0.1989126,0.29746097,0.2754712
normal/normal-80.csv,0,0.45949802,0.2822199,0.33078277,0.2735379,0.3065013,0.27787888
normal/normal-81.csv,0,0.37453005,0.26208818,0.3064431,0.27095345,0.28426564,0.26652083
normal/normal-82.csv,0,0.38377336,0.45953184,0.26063535,0.3797249,0.36008358,0.41962838
normal/normal-83.csv,0,0.30478925,0.35633945,0.116583064,0.23316893,0.23646127,0.2947542
normal/normal-84.csv,0,0.3914822,0.40370807,0.21606167,0.27526948,0.30988488,0.33948877
normal/normal-86.csv,0,0.46888244,0.19598599,0.122170344,0.5644618,0.15907817,0.3802239
normal/normal-87.csv,0,0.14201988,0.19710545,0.094497934,0.4173712,0.1458017,0.30723834
normal/normal-88.csv,0,0.38996804,0.22740413,0.039309837,0.3636474,0.13335699,0.2955258
